	title	url	content	summary	author	time	resource	pdf
0	Rusia: la otra potencia europea	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/rusia_la_otra_potencia_europea		Interrogar la actualidad, n.º 7	20€	06/2005	www.cidob.org	https://www.cidob.org/en/content/download/57570/1487532/version/2/file/07-RUSIA%2C%20LA%20OTRA%20POTENCIA.pdf
1	Instituciones y nueva gestión pública en América Latina	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/instituciones_y_nueva_gestion_publica_en_america_latina		Interrogar la actualidad, n.º 9	15€	11/2005	www.cidob.org	https://www.cidob.org/en/content/download/57572/1487677/version/2/file/09-INSTITUCIONES%20Y%20NUEVA%20GESTI%C3%93N%20P%C3%9ABLICA.pdf
2	Desarrollo y transición en Asia	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/desarrollo_y_transicion_en_asia		Interrogar la actualidad, n.º 11	15€	03/2006	www.cidob.org	https://www.cidob.org/en/content/download/57574/1487822/version/3/file/11-DESARRO%20y%20TRANSICI%C3%93N%20EN%20ASIA.pdf
3	Regionalismo y desarrollo en Asia	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/regionalismo_y_desarrollo_en_asia		Interrogar la actualidad, n.º 12	15€	06/2006	www.cidob.org	https://www.cidob.org/en/content/download/57575/1487909/version/3/file/12-REGIONALISMO%20Y%20DESARROLLO%20EN%20ASIA.pdf
4	Globalisation, education and poverty in Latin America: toward a new political agenda?	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/globalisation_education_and_poverty_in_latin_america_toward_a_new_political_agenda		Interrogar la actualidad, n.º 13	20€	11/2006	www.cidob.org	https://www.cidob.org/en/content/download/57549/1485908/version/2/file/13-GLOBLALIZACI%C3%93N%20EDUCACI%C3%93N%20y%20POBREZA.pdf
5	Migrant Communities and the Internal and External Dynamics of Integration: The Potential Role of Migrants in the Euro-Mediterranean Partnership	https://www.cidob.org/en/publications/publication_series/project_papers/euromesco/migrant_communities_and_the_internal_and_external_dynamics_of_integration_the_potential_role_of_migrants_in_the_euro_mediterranean_partnership		EuroMeSCo Paper, October 2006 (56)	Jordi Moreras (et al.)	10/2006	www.cidob.org	https://www.cidob.org/en/content/download/76551/2462879/version/1/file/EuroMeSCo-Paper-October%202_2006.pdf
6	Drawing Lessons from Turkey’s and Spain’s Security Sector Reforms for the Mediterranean	https://www.cidob.org/en/publications/publication_series/project_papers/euromesco/drawing_lessons_from_turkey_s_and_spain_s_security_sector_reforms_for_the_mediterranean		EuroMesCo Paper Octobre 2006 (52)	Eduard Soler i Lecha,  Debora Miralles, Ümit Cizre and Volkan Aytar	10/2006	www.cidob.org	https://www.cidob.org/en/content/download/76550/2462842/version/1/file/EuroMeSCo-Paper-October_2006.pdf
7	Discourses on Immigration in Spain: The Media, Parliaments and Administration	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/discourses_on_immigration_in_spain_the_media_parliaments_and_administration		Interrogar la actualidad, n.º 15	20€	04/2007	www.cidob.org	https://www.cidob.org/en/content/download/57557/1486401/version/2/file/15-DISCURSOS%20SOBRE%20LA%20INMIGRACI%C3%93N%20EN%20ESPA%C3%91A.pdf
8	África en diáspora: movimientos de población y políticas estatales	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/africa_en_diaspora_movimientos_de_poblacion_y_politicas_estatales		Interrogar la actualidad, n.º 16	18€	03/2007	www.cidob.org	https://www.cidob.org/en/content/download/57556/1486314/version/2/file/16-AFRICA%20EN%20DIASPORA.pdf
9	La seguridad desde las dos orillas: un debate entre Europa y Latinoamérica 	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/la_seguridad_desde_las_dos_orillas_un_debate_entre_europa_y_latinoamerica		Interrogar la actualidad, n.º 14	20€	01/2007	www.cidob.org	https://www.cidob.org/en/content/download/57555/1486227/version/4/file/14-LA%20SEGURIDAD%20DESDE%20LAS%20DOS%20ORILLAS.pdf
10	Regaining Impetus	https://www.cidob.org/en/publications/publication_series/project_papers/euromesco/regaining_impetus		EuroMeSCo Annual Report 2006	EuroMeSCo Secretariat at the IEEI	05/2007	www.cidob.org	https://www.cidob.org/en/content/download/76557/2463101/version/1/file/Annual%20Report%202006.pdf
11	Hacia una zona andina de paz: entre la cooperación y el conflicto	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/hacia_una_zona_andina_de_paz_entre_la_cooperacion_y_el_conflicto		Interrogar la actualidad, n.º 17	18€	09/2007	www.cidob.org	https://www.cidob.org/en/content/download/57558/1486488/version/3/file/17-HACIA%20UNA%20ZONA%20ANDINA.pdf
12	España en Europa - Europa en España (1986-2006)	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/espana_en_europa_europa_en_espana_1986_2006		Interrogar la actualidad, n.º 19	25€	12/2007	www.cidob.org	https://www.cidob.org/en/content/download/57560/1486662/version/2/file/19-ESPA%C3%91A%20EN%20EUROPA-EUROPA%20EN%20ESPA%C3%91A.pdf
13	Pueblos indígenas y política en América Latina	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/pueblos_indigenas_y_politica_en_america_latina		Interrogar la actualidad, n.º 18	28€	11/2007	www.cidob.org	https://www.cidob.org/en/content/download/57559/1486575/version/3/file/18-PUEBLOS%20INDIGENAS.pdf
